36773	27721	43
36780	27708	56
36789	27698	65
36800	27692	74
36814	27692	80
36832	27692	93
36855	27706	98
36884	27751	114
36921	27815	129
36965	27905	144
37016	28017	150
37073	28150	167
37134	28295	176
37198	28454	186
37264	28620	188
37328	28785	208
37390	28946	215
37448	29097	218
37500	29238	221
37546	29356	226
37584	29458	220
37614	29535	220
37636	29594	219
37649	29631	218
37656	29651	227
37657	29659	227
37657	29659	235
37657	29659	247
37650	29635	261
37640	29602	262
37629	29561	266
37616	29508	268
37605	29443	264
37591	29363	264
37577	29269	263
37559	29162	264
37539	29035	256
37516	28895	258
37489	28742	249
37459	28581	253
37429	28413	259
37401	28242	267
37376	28079	269
37358	27927	294
37347	27791	296
37347	27676	291
37347	27588	295
37365	27523	295
37396	27486	291
37437	27473	284
37487	27473	277
37545	27513	279
37610	27584	285
37679	27678	288
37748	27792	287
37818	27920	289
37887	28056	303
37956	28191	302
38021	28321	300
38085	28444	316
38148	28556	309
38207	28657	313
38264	28747	312
38315	28824	310
38362	28891	308
38402	28945	305
38434	28985	309
38458	29010	301
38474	29024	300
38484	29026	296
38486	29026	293
38486	29014	298
38486	28981	303
38478	28930	309
38464	28864	317
38448	28788	328
38430	28704	324
38411	28613	331
38391	28519	334
38374	28429	335
38356	28341	332
38341	28252	329
38325	28163	330
38310	28074	329
38295	27986	331
38280	27899	329
38265	27812	333
38250	27729	328
38237	27650	330
38224	27581	334
38213	27518	333
38207	27466	332
38203	27425	336
38201	27397	332
38201	27381	334
38201	27371	330
38201	27367	323
38201	27367	322
38201	27367	323
38201	27367	325
38201	27367	328
38201	27367	330
38201	27367	332
38201	27367	331
38201	27367	328
38204	27369	324
38209	27380	321
38216	27394	319
38226	27412	319
38239	27433	317
38255	27458	319
38273	27486	316
38292	27514	314
38311	27543	312
38331	27572	313
38349	27598	306
38366	27622	302
38381	27642	299
38394	27659	299
38403	27672	298
38410	27680	300
38414	27685	300
38416	27687	301
38417	27687	303
38417	27687	303
38417	27687	303
38418	27687	300
38419	27687	297
38420	27687	294
38421	27687	289
38423	27687	285
38425	27683	280
38427	27675	278
38429	27664	276
38433	27653	276
38436	27639	277
38441	27627	279
38446	27612	284
38453	27597	285
38461	27584	285
38471	27573	280
38481	27567	277
38493	27565	274
38506	27565	269
38521	27565	264
38537	27575	262
38552	27593	265
38568	27614	268
38583	27634	271
38596	27651	271
38609	27667	273
38621	27682	274
38633	27692	274
38645	27701	273
38658	27707	272
38672	27712	271
38687	27717	271
38703	27722	268
38718	27729	268
38733	27736	271
38746	27743	269
38757	27751	269
38766	27757	268
38772	27760	268
38776	27762	268
38779	27762	269
38781	27762	271
38784	27762	273
38788	27762	273
38793	27762	273
38800	27762	275
38809	27762	272
38819	27756	273
38829	27745	274
38840	27729	272
38851	27706	269
38861	27672	261
38872	27624	266
38880	27558	273
38886	27471	281
38890	27365	286
38890	27242	296
38890	27102	296
38890	26952	309
38878	26792	315
38861	26620	314
38839	26441	326
38808	26251	340
38768	26047	340
